"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EPA-GHGI","Historic","Mt CO2/yr",1990,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","United States",46.3,"stackbar",3,"Transportation CO2",0,"Water","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Buses","United States",12.9,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Commerical Aircraft","United States",103.3,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","United States",303.6,"stackbar",3,"Transportation CO2",0,"LD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Lubricants","United States",10.6,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","United States",226.1,"stackbar",3,"Transportation CO2",0,"MHD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Mortorcycles","United States",3.4,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Aircraft","United States",68.2,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","United States",597.4,"stackbar",3,"Transportation CO2",0,"Passenger Cars","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines","United States",32.8,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Rail","United States",36.4,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1991,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","United States",41.1,"stackbar",3,"Transportation CO2",0,"Water","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Buses","United States",13.6,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Commerical Aircraft","United States",105.5,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","United States",329.8,"stackbar",3,"Transportation CO2",0,"LD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Lubricants","United States",10.8,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","United States",237.9,"stackbar",3,"Transportation CO2",0,"MHD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Mortorcycles","United States",3.6,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Aircraft","United States",63.8,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","United States",600.5,"stackbar",3,"Transportation CO2",0,"Passenger Cars","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines","United States",32.2,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Rail","United States",37.3,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1992,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","United States",56.4,"stackbar",3,"Transportation CO2",0,"Water","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Buses","United States",14.4,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Commerical Aircraft","United States",108.7,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","United States",351.7,"stackbar",3,"Transportation CO2",0,"LD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Lubricants","United States",11,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","United States",252.1,"stackbar",3,"Transportation CO2",0,"MHD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Mortorcycles","United States",3.7,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Aircraft","United States",62,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","United States",593.4,"stackbar",3,"Transportation CO2",0,"Passenger Cars","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines","United States",34.1,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Rail","United States",38.4,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1993,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","United States",53.1,"stackbar",3,"Transportation CO2",0,"Water","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Buses","United States",15.3,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Commerical Aircraft","United States",113.5,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","United States",373.9,"stackbar",3,"Transportation CO2",0,"LD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Lubricants","United States",11.5,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","United States",267.5,"stackbar",3,"Transportation CO2",0,"MHD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Mortorcycles","United States",3.9,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Aircraft","United States",64.5,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","United States",585.2,"stackbar",3,"Transportation CO2",0,"Passenger Cars","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines","United States",37.5,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Rail","United States",41.2,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1994,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","United States",54.6,"stackbar",3,"Transportation CO2",0,"Water","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Buses","United States",15.8,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Commerical Aircraft","United States",115.2,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","United States",396.3,"stackbar",3,"Transportation CO2",0,"LD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Lubricants","United States",11.3,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","United States",277,"stackbar",3,"Transportation CO2",0,"MHD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Mortorcycles","United States",4,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Aircraft","United States",59.6,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","United States",576.8,"stackbar",3,"Transportation CO2",0,"Passenger Cars","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines","United States",38.3,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Rail","United States",42.7,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1995,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","United States",58,"stackbar",3,"Transportation CO2",0,"Water","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Buses","United States",16.4,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Commerical Aircraft","United States",118.6,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","United States",423.5,"stackbar",3,"Transportation CO2",0,"LD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Lubricants","United States",11,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","United States",288.5,"stackbar",3,"Transportation CO2",0,"MHD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Mortorcycles","United States",4.2,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Aircraft","United States",68.4,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","United States",573.5,"stackbar",3,"Transportation CO2",0,"Passenger Cars","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines","United States",38.9,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Rail","United States",43.4,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1996,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","United States",55,"stackbar",3,"Transportation CO2",0,"Water","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1997,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Buses","United States",17.1,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1997,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Commerical Aircraft","United States",122.9,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1997,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","United States",446.9,"stackbar",3,"Transportation CO2",0,"LD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1997,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Lubricants","United States",11.6,"stackbar",3,"Transportation CO2",0,"Pipelines","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1997,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","United States",301.4,"stackbar",3,"Transportation CO2",0,"MHD Trucks","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1997,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Mortorcycles","United States",4.4,"stackbar",3,"Transportation CO2",0,"Other","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EPA-GHGI","Historic","Mt CO2/yr",1997,"EPA-GHGI_wide.csv","Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Aircraft","United States",64.2,"stackbar",3,"Transportation CO2",0,"Aircraft","usa","models_ghgi","ghgi_yrs","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
