"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"3.4","REGEN-EPRI","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",53.53
"3.4","REGEN-EPRI","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","REGEN-EPRI","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",16.48
"3.4","REGEN-EPRI","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",32.35
"3.4","REGEN-EPRI","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",43.26
"3.4","RIO-REPEAT","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","RIO-REPEAT","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",20.05
"3.4","RIO-REPEAT","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",52.36
"3.4","RIO-REPEAT","IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",81.45
"3.4","RIO-REPEAT","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2022,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",4.4
"3.4","RIO-REPEAT","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2025,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",17.75
"3.4","RIO-REPEAT","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2030,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",42.74
"3.4","RIO-REPEAT","No IRA","Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share","%",2035,"Energy Service|Transportation|Passenger|BEV and PHEV|Sales Share",58.61
