model,scenario,region,variable,notes,ghgi-table,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Indirect,,,Mt CO2/yr,1130.4,1140.1,1128.5,1193.9,1204,1228.2,1280.6,1329.3,1403.2,1413.4,1503.2,1518,1545.2,1556.7,1585.1,1659,1628.4,1691.1,1658,1539.2,1613.1,1529,1426.2,1439.2,1439.7,1346.8,1287.1,1223.3,1247.3,1136.4,1025.6,1090.7
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Residential,,,Mt CO2/yr,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.2,341.4,313.2,313.3
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Residential|Coal,,,Mt CO2/yr,3,2.4,2.5,2.5,2,1.7,1.6,1.5,1.1,1.3,1.1,1.1,1.2,1.2,1.1,0.8,0.6,0.7,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Residential|Gas,,,Mt CO2/yr,237.8,247.3,254.6,268.2,262.9,262.8,284,270.1,246.1,256.4,270.8,259.2,265.1,276.2,264.2,262.2,237.3,256.4,265.7,259.1,258.9,255.1,225.1,266.4,277.7,252.7,238.4,241.5,273.8,275.5,256.4,258.6
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Residential|Indirect,,,Mt CO2/yr,592.7,601.6,591.4,631.9,631.9,641.6,672.1,680.2,718.2,719.6,762.2,762.5,791.6,802.6,811.9,856,830.1,862.9,842.6,786.3,840.1,790.8,725.6,734.7,734.1,683.8,653.5,617.1,642.3,583.7,545.3,572.2
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Residential|Oil,,,Mt CO2/yr,97.8,98,96.9,95.4,92.1,88.7,97.9,93.4,84.4,93.2,99.8,102.7,94.9,102.8,103.8,95.9,83.8,84,82.2,77.4,75.8,71.1,57.3,62.8,68.9,64.6,54.4,51.9,64.4,65.9,56.8,54.7
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry and Fuel Production,,,Mt CO2/yr,852.4,837.8,865.3,864.6,871.4,888.4,921.2,915.8,889.4,842.1,868.9,866.7,852.4,852,875.4,850.8,875.1,866.4,819,742.5,795.9,796.7,806.2,834.2,813.7,798,792.9,789,813.5,815.9,767.9,775.6
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect,,,Mt CO2/yr,686.4,674.2,699.2,709.2,723.3,716,736.5,755.2,770.2,773,789.5,735.6,723.5,742.7,745.5,736.3,711.4,714.9,696.7,601.7,641,624.8,593.1,594.8,593,549.5,517.6,504.4,501.3,465.5,409.8,445.1
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry|Coal,,,Mt CO2/yr,157.8,154.6,150.3,152.6,153.5,147.2,140.1,140.2,141.8,132.5,128.5,130.2,119.1,119.4,120.4,117.8,115.6,110.8,106.1,87.1,94.2,86,78.2,79.5,79.2,70,63.2,58.7,54.4,49.5,43,43
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry|Gas,,,Mt CO2/yr,407.4,413.6,429.3,437,438.2,461.5,477.2,477.9,466.2,445.6,458.2,420.6,428.1,415.1,418.9,387.8,387.4,397,398.7,374.2,407.1,417.2,433.9,450.9,465.9,459.6,464,468.1,493.5,501.5,486.1,499.6
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Industry|Oil,,,Mt CO2/yr,287.1,269.5,285.7,275.1,279.8,279.7,303.8,297.7,281.4,264,282.2,315.9,305.2,317.5,336.1,345.2,372.1,358.6,314.3,281.3,294.7,293.6,294.1,303.8,268.5,268.4,265.7,262.2,265.6,264.9,238.9,232.9
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation,,,Mt CO2/yr,1468.9,1422.3,1477.6,1508.6,1553.9,1580.7,1627.4,1643.5,1678.9,1746.3,1792.2,1762.5,1803,1812,1845.2,1858.6,1859.1,1860.7,1759.7,1688.5,1696.6,1670.4,1659.4,1669,1707.2,1718.2,1757.7,1780.1,1812.9,1816.4,1572.5,1752.4
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|Gas,,,Mt CO2/yr,36,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.3,35.8,35.7,34.9,37.1,33.3,31.9,33.1,33.1,35.2,36.7,37.9,38.2,38.9,41.4,47,40.2,39.4,40.1,42.3,50.9,58.9,58.7,65.1
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Buses,,,Mt CO2/yr,13.3,12.9,13.6,14.4,15.3,15.8,16.4,17.1,17.8,18.7,19.1,15.8,16.6,16.3,17.1,17.2,17.9,18.2,17.7,16.6,16.1,17,18.1,18.5,20.3,21.2,21.4,22.8,23.7,24.2,23,25.1
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Commerical Aircraft,,,Mt CO2/yr,109.9,103.3,105.5,108.7,113.5,115.2,118.6,122.9,119.7,130.3,139.3,124.6,121.3,122.9,124.8,132.7,137,139.7,127.3,119.5,113.3,114.6,113.3,114.3,115.2,119,120.4,128,129.6,136.7,91.3,119
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks,,,Mt CO2/yr,292.2,303.6,329.8,351.7,373.9,396.3,423.5,446.9,478.8,513.2,530.3,541.3,564.3,584.7,607.5,614.2,623.1,625.1,586.6,588.6,589,601.9,650.5,638.1,662.3,664.6,684.9,692.7,699.1,690.2,596.3,654
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Lubricants,,,Mt CO2/yr,11.8,10.6,10.8,11,11.5,11.3,11,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10,9.1,9.6,10,11,10.4,9.6,9.2,8.8,7.8,8
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks,,,Mt CO2/yr,232.8,226.1,237.9,252.1,267.5,277,288.5,301.4,313.7,330.8,343.1,343,354,361.8,371.8,386.5,395.6,397.7,380.8,341.8,353.1,346.1,344.8,350.5,364.6,370.7,374.7,387.5,398.2,400.6,377.9,407.8
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Mortorcycles,,,Mt CO2/yr,3.4,3.4,3.6,3.7,3.9,4,4.2,4.4,4.6,4.9,4.4,4,4.1,4.2,5.4,4.9,6.8,7.5,7.1,7.1,6.3,6.2,7,6.7,6.9,6.7,7.1,7,7.3,7.4,6.6,7.4
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Other Aircraft,,,Mt CO2/yr,77.3,68.2,63.8,62,64.5,59.6,68.4,64.2,71,64.7,58.1,67.4,66.2,58.4,63.9,59,47.5,41.9,47.7,36.4,40,33.8,31.7,34.3,34.6,40,47,45.1,44.2,45.2,30.7,35.1
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars,,,Mt CO2/yr,622.2,597.4,600.5,593.4,585.2,576.8,573.5,563.4,562.4,561.9,555.3,547.1,550.9,550.8,538.2,521.1,503,495.4,468.7,467.4,459.1,427.9,375.8,383.5,396.2,387.6,390.3,379,386.5,384.2,331.9,365
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines,,,Mt CO2/yr,36,32.8,32.2,34.1,37.5,38.3,38.9,41.2,35.1,35.6,35.4,34.6,36.7,32.8,31.5,32.6,32.6,34.7,36.3,37.5,37.8,38.5,41,46.6,39.7,38.9,39.5,41.6,50.2,58.2,57.9,64.2
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Rail,,,Mt CO2/yr,38.5,36.4,37.3,38.4,41.2,42.7,43.4,43.6,43.9,45.5,46,46.3,45.8,47.5,50.2,50.8,52.7,51.8,48.1,40.5,43.4,44.5,43.3,43.8,45.6,43.4,39.6,40.7,41.9,39.1,33.5,34.7
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats,,,Mt CO2/yr,46.3,41.1,56.4,53.1,54.6,58,55,41.6,35.1,43.9,64.7,42,46.6,36.8,39.3,44.3,47.3,53.8,44.2,37.5,43.1,44.3,37.9,37,26.2,30.5,37.1,39.9,36.9,35.5,27.6,45
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|Indirect,,,Mt CO2/yr,3,3,3,3,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,4,4.3,4.4,4.3,4.2,4.3,4.8,4.8,4.1,5
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Transportation|Oil,,,Mt CO2/yr,1432.9,1389.5,1445.4,1474.5,1516.4,1542.3,1588.3,1602.1,1643.6,1710.5,1756.6,1727.6,1765.9,1778.7,1813.3,1825.5,1826,1825.6,1723,1650.6,1658.4,1631.4,1618,1621.9,1667,1678.8,1717.7,1737.8,1762,1757.5,1513.9,1687.3
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Gas,,,Mt CO2/yr,998.6,1020.9,1054.3,1081.8,1106.6,1155,1176.3,1182.5,1158.7,1162.9,1218.6,1169.4,1207.9,1177,1182.8,1166.2,1151,1225,1235.9,1214.2,1273.1,1292.8,1352.8,1390.8,1419.1,1455.4,1461.3,1433.2,1592,1649.3,1612.4,1621
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Oil,,,Mt CO2/yr,2009.2,1939.7,1989.7,2010.4,2050.2,2042.9,2127.6,2136.3,2177.5,2222.4,2318.3,2347.6,2334.8,2399.8,2456.1,2467,2433.4,2415.9,2240.1,2127.6,2140.1,2099,2053.9,2073.7,2090.7,2123.9,2137.5,2148.8,2185.8,2178.1,1896.5,2060.4
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity,,,Mt CO2/yr,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.2,2257.2,2272.2,2303.7,2335.1,2400.1,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.3,2038.3,2037.2,1900.6,1808.9,1732,1753.4,1606.7,1439.6,1540.9
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity|Coal,,,Mt CO2/yr,1546.5,1547.2,1568.5,1631.6,1637.9,1659.9,1751.5,1796,1827.1,1835.4,1926.4,1868.8,1888.9,1930,1942,1982.8,1952.7,1986.2,1958.4,1740.2,1827.2,1722.4,1511.7,1571.3,1568.6,1351.4,1242,1207.1,1152.9,973.5,788.2,909.9
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity|Gas,,,Mt CO2/yr,175.4,179,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306,278.1,296.8,318.9,338,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545,505.6,577.9,616.6,634.8,612.9
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity|Geothermal,,,Mt CO2/yr,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Supply|Electricity|Oil,,,Mt CO2/yr,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.5,98.6,76.9,95.1,95.8,98,53.3,53,38.4,32.2,31.4,25.8,18.3,22.4,25.3,23.7,21.5,18.9,22.2,16.2,16.2,17.7
EPA-GHGI,Historic,United States,Emissions|CO2|Net,co2 emissions - lulucf sink,ES-2,Mt CO2/yr,4182.1,4118.6,4237.4,4355.3,4432.5,4522.5,4689.5,4784.7,4828.5,4903.4,5108.1,5007.8,5079.2,5118.7,5321.4,5278.7,5170.1,5287,5090.4,4693.7,4872.3,4692.3,4494.7,4666.7,4701.8,4624.3,4378.7,4369.7,4548.3,4493.9,3862.1,4200.2
EPA-GHGI,Historic,United States,Emissions|F-Gases,sum of 4 f-gases,ES-2,Mt CO2e/yr,91.3,83.4,87.3,87.3,91,107.9,118.1,124.8,138.7,136.9,138.4,127.9,135.5,128.8,135.7,138.4,141.8,152.3,154.6,151,159,165.2,162.7,163.1,167.6,170.2,170.5,172.3,172.8,177.7,180.2,187.2
EPA-GHGI,Historic,United States,Emissions|GHG,new var,ES-2,Mt CO2e/yr,6545.2,6475.6,6589,6694,6803.6,6876,7080.6,7132.6,7179.4,7229.2,7435.4,7310.9,7363.9,7416,7546.1,7549.9,7472.1,7580.4,7355.8,6907.3,7114.5,6969.7,6734.3,6906.1,6956.5,6817.7,6637.2,6630.3,6819.1,6682.1,6102.3,6417.9
EPA-GHGI,Historic,United States,Emissions|GHG|Energy,new var,ES-3,Mt CO2e/yr,5368,5321,5428.4,5517.5,5606.3,5653.8,5841.7,5912.7,5953.6,6012.1,6222.8,6139.4,6168.1,6236.9,6335.1,6351.5,6277.9,6347.9,6162.9,5760,5932.1,5783.7,5564.1,5714.1,5754.1,5596.8,5450.8,5418.7,5589.5,5460.6,4894,5196.6
EPA-GHGI,Historic,United States,Emissions|GHG|Industrial Processes,new var,ES-3,Mt CO2e/yr,335.4,317.3,322.8,322.2,333.9,362.3,374.1,379.7,386.1,382.4,381,345.9,354,342.1,355.2,356.1,365.3,381.7,360.2,312.9,352,367,357.2,357.2,368.7,363.9,357.6,359.1,362.2,366.8,363.2,376.4
EPA-GHGI,Historic,United States,Emissions|GHG|Net,new var,ES-2,Mt CO2e/yr,5606.4,5531.2,5652.4,5776.4,5871.6,5973.1,6157.2,6229.4,6274.6,6328.9,6533.4,6411,6496.7,6524.6,6754.8,6696.3,6589.5,6737.3,6531.1,6120.3,6307.2,6116,5884.9,6092.4,6129.7,6065.5,5763.1,5787.6,5989.7,5913.9,5249.8,5586
EPA-GHGI,Historic,United States,Emissions|HFC,new var,ES-2,Mt CO2e/yr,39,35.4,40.4,40.8,47.1,64.7,74.5,84.4,102.3,100.9,105.8,102.9,109.2,104.3,113.3,116.4,120.7,131.2,135.7,136.2,144.7,148.4,148.1,149.1,154.1,157.9,158.4,160.8,160.9,165.4,168.2,175.1
EPA-GHGI,Historic,United States,Emissions|N2O,sum of n2o energy and afolu,ES-2,Mt CO2e/yr,410.7,401.8,401.9,419.2,423.2,426.1,437.2,424.1,425.9,421.8,419.2,421.5,426.7,426,440.1,426.9,422.6,434.9,416.6,414.4,415.4,419.1,399.1,430.8,435,432.7,414.5,423,437.2,417.6,399.9,405.1
EPA-GHGI,Historic,United States,Emissions|N2O|AFOLU,,ES-2,Mt CO2e/yr,4.4,4.2,3.1,3.3,4.7,3.2,4.5,3,3.4,5.4,8,4.7,9.6,6.7,14.9,11.1,7.7,9.4,6.4,8.7,4.1,6.8,6.8,7.1,4.8,13.4,5,8.3,7,7.3,11,11.8
EPA-GHGI,Historic,United States,Emissions|N2O|Energy,,ES-2,Mt CO2e/yr,406.3,397.6,398.8,415.9,418.5,422.9,432.7,421.1,422.5,416.4,411.2,416.8,417.1,419.3,425.2,415.8,414.9,425.5,410.2,405.7,411.3,412.3,392.3,423.7,430.2,419.3,409.5,414.7,430.2,410.3,388.9,393.3
EPA-GHGI,Historic,United States,Emissions|NF3,new var,ES-2,Mt CO2e/yr,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.5,0.5,0.4,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
EPA-GHGI,Historic,United States,Emissions|Non-CO2 GHG,"sum of ch4, n2o, fgases",ES-2,Mt CO2e/yr,1424.2,1412.6,1414.8,1421.1,1439.3,1450.7,1467.6,1444.5,1446.1,1425.3,1425.3,1403.2,1417.6,1405.9,1433.4,1417.7,1419.4,1450.3,1440.7,1426.6,1434.8,1423.6,1390.2,1425.9,1427.8,1441.2,1384.3,1418.1,1441.3,1420,1387.7,1385.7
EPA-GHGI,Historic,United States,Emissions|PFC,new var,ES-2,Mt CO2e/yr,21.8,18.8,17.5,17.5,16.2,16.8,17.9,16.4,15.3,15.2,14.4,7.5,9.3,7.4,6.2,6.1,5.9,7.2,5.8,3.9,4.3,6.7,5.8,5.6,5.2,4.7,4,3.8,4.3,4,3.9,3.5
EPA-GHGI,Historic,United States,Emissions|SF6,new var,ES-2,Mt CO2e/yr,30.5,29.2,29.4,28.9,27.6,26.3,25.6,23.9,21,20.7,18,17.3,16.5,16.6,15.7,15.5,14.6,13.4,12.6,10.5,9.6,9.6,8.3,7.9,7.8,7.1,7.6,7.2,7.1,7.8,7.5,8
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Transportation,,ES-5,Mt CO2e/yr,1521.4,1474.8,1533.8,1570.2,1624.6,1659.2,1714.6,1740.5,1782.7,1853.7,1903.8,1875.5,1916.3,1923.8,1956.3,1966,1966.4,1967.2,1863.5,1789.1,1795.2,1762.3,1743.5,1746.6,1780.8,1789.1,1824.1,1841.6,1871.3,1874.3,1624.9,1804.3
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Supply|Electricity,,ES-5,Mt CO2e/yr,1879.7,1874,1889.2,1964.6,1989.1,2005.6,2078,2143.3,2229.6,2243,2349.6,2310.3,2326,2357.5,2390.6,2456.9,2401.9,2467.9,2414.9,2198.3,2312.8,2210,2072.4,2090.7,2090.9,1951.5,1859.2,1779.2,1799.1,1650.5,1481.8,1584.1
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Industry,,ES-5,Mt CO2e/yr,1677.3,1651.4,1687.7,1657.1,1683.9,1703.3,1733.7,1735.3,1706.1,1657.2,1649.8,1604.6,1585.1,1565.5,1615.9,1574.4,1611.1,1600.7,1547.5,1394.8,1488.6,1494.9,1485.5,1544.4,1530.6,1518.1,1463.1,1494.5,1558,1568.2,1465.4,1487.3
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings,sum of commercial and residential,ES-5,Mt CO2e/yr,792.6,809.8,811.8,816.2,809.9,811.8,850.8,823.3,762.9,778.2,813.3,791.9,790.5,825.5,811.1,790.1,739.4,773.8,789.2,783.1,786,774.1,712.6,786.1,816.7,801.9,761.9,766,829.5,844.4,792.9,804.8
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Commercial,,ES-5,Mt CO2e/yr,447,454.5,450,443.1,446.1,444.5,451.7,442.9,416.4,411.9,425.7,414.1,415.4,431.8,429.2,418.9,405,418.5,425.4,428.7,430.8,425.5,406.4,429.2,439.4,451.7,435.5,437.6,453.7,462,436,439.2
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Residential,,ES-5,Mt CO2e/yr,345.6,355.3,361.8,373.1,363.8,367.3,399.1,380.4,346.5,366.3,387.6,377.8,375.1,393.7,381.9,371.2,334.4,355.3,363.8,354.4,355.2,348.6,306.2,356.9,377.3,350.2,326.4,328.4,375.8,382.4,356.9,365.6
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Industry|Total,,ES-6,Mt CO2e/yr,2351.1,2312.8,2373.8,2351,2391.1,2401.9,2450.7,2468.1,2453,2406.1,2415.7,2317,2281.3,2285.9,2336.6,2289.9,2301.5,2287,2219.6,1971.1,2104.4,2093.4,2049.7,2112.1,2094.9,2041.1,1955.9,1973.9,2033.2,2011.2,1852.9,1909.2
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Transportation|Total,,ES-6,Mt CO2e/yr,1524.6,1477.9,1536.8,1573.4,1627.8,1662.3,1717.8,1743.7,1786,1857,1907.3,1879.2,1919.8,1928.1,1960.9,1970.9,1971.1,1972.4,1868.3,1793.7,1799.8,1766.7,1747.5,1751,1785.3,1793.5,1828.4,1846,1876.2,1879.2,1629.2,1809.5
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Commercial|Total,,ES-6,Mt CO2e/yr,1002.4,1009.8,1004.3,1022.4,1035.6,1048.7,1077.6,1109.3,1118.1,1122.6,1184,1187.3,1186.8,1203.5,1220.8,1241,1222.9,1266.2,1260,1200.2,1222.4,1181.4,1124.1,1151.9,1163.6,1132.4,1086.8,1060.4,1074.5,1029.7,930.5,972.2
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Residential|Total,,ES-6,Mt CO2e/yr,957.8,975.6,972.1,1024.4,1014.9,1028.1,1090.5,1078.8,1082.2,1103.5,1167.6,1158.2,1185.4,1215,1213.1,1247.5,1184.9,1238.5,1226.2,1160.1,1215.5,1158.4,1049.4,1110.6,1130.7,1052.3,998,962.3,1034.9,982,918.3,953.8
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Total,sum of commercial and residential total,ES-6,Mt CO2e/yr,1960.2,1985.4,1976.4,2046.8,2050.5,2076.8,2168.1,2188.1,2200.3,2226.1,2351.6,2345.5,2372.2,2418.5,2433.9,2488.5,2407.8,2504.7,2486.2,2360.3,2437.9,2339.8,2173.5,2262.5,2294.3,2184.7,2084.8,2022.7,2109.4,2011.7,1848.8,1926
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Indirect,total - direct,ES-6,Mt CO2e/yr,1167.6,1175.6,1164.6,1230.6,1240.6,1265,1317.3,1364.8,1437.4,1447.9,1538.3,1553.6,1581.7,1593,1622.8,1698.4,1668.4,1730.9,1697,1577.2,1651.9,1565.7,1460.9,1476.4,1477.6,1382.8,1322.9,1256.7,1279.9,1167.3,1055.9,1121.2
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Commercial|Indirect,total - direct,ES-6,Mt CO2e/yr,555.4,555.3,554.3,579.3,589.5,604.2,625.9,666.4,701.7,710.7,758.3,773.2,771.4,771.7,791.6,822.1,817.9,847.7,834.6,771.5,791.6,755.9,717.7,722.7,724.2,680.7,651.3,622.8,620.8,567.7,494.5,533
